(28.10.2019 14:16:59) CMD   : NumberOfKeystrokes("91,77", "1", "10")
(28.10.2019 14:16:59) DTL   :   KeyboardAction("System.Collections.Generic.List`1[System.Int32]", "10")
(28.10.2019 14:16:59) DTL   :     KeyDown:'LWIN'
(28.10.2019 14:16:59) DTL   :     Sleep("10")
(28.10.2019 14:16:59) DTL   :     KeyDown:'VK_M'
(28.10.2019 14:16:59) DTL   :     Sleep("10")
(28.10.2019 14:16:59) DTL   :     KeyUp:'VK_M'
(28.10.2019 14:16:59) DTL   :     KeyUp:'LWIN'
(28.10.2019 14:16:59) CMD   : Sleep("2000")
(28.10.2019 14:17:01) CMD   : Processes.Execute("system32\mstsc.exe", "", "True", "False", "Normal")
(28.10.2019 14:17:01) DTL   :   Processes.StartProcess("system32\mstsc.exe", "", "True", "False", "Normal", "False", "False")
(28.10.2019 14:17:01) CMD   : WindowsUI.GetElementRectangle("0", "False", "True", "False", "False")
(28.10.2019 14:17:01) DTL   :   WindowsUI.FocusWindow("ByName", "Подключение к удаленному рабочему столу", "0")
(28.10.2019 14:17:01) DTL   :     WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:17:02) DTL   :       Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:17:02) DTL   :       WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:17:02) DTL   :         Focus window with name 'Подключение к удаленному рабочему столу' is successfully
(28.10.2019 14:17:02) DTL   :         Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:17:02) DTL   :       Found 1 elements.
(28.10.2019 14:17:02) DTL   :       Order = 0, taking first.
(28.10.2019 14:17:02) DTL   :       elArr: Found 
(28.10.2019 14:17:02) DTL   :       BoundingRectangle: (x=773, y=198, w=389, h=28)
(28.10.2019 14:17:02) DTL   :       GetCurrentPropertyValue: (x=773, y=198, w=389, h=28)
(28.10.2019 14:17:02) DTL   :       GetClickablePoint: (967, 212)
(28.10.2019 14:17:02) DTL   :       x+w/2, y+h/2: (967,5, 212)
(28.10.2019 14:17:02) DTL   :       Focused element
(28.10.2019 14:17:02) DTL   :       SimulateSystem.ClickLeftMouseButton("967", "212", "")
(28.10.2019 14:17:02) DTL   :         SimulateSystem.CalculateLocation("967", "212", "")
(28.10.2019 14:17:02) DTL   :           (33006, 12864)
(28.10.2019 14:17:02) DTL   :         SimulateSystem.ClickMouseYeah("33006", "12864", "MOUSEEVENTF_LEFTUP", "MOUSEEVENTF_LEFTDOWN")
(28.10.2019 14:17:02) DTL   :         Click left mouse button complete
(28.10.2019 14:17:02) DTL   :       ForceClick on (967,212)
(28.10.2019 14:17:02) WARN  : Action Timeout!
(28.10.2019 14:17:02) DTL   :       TextEntry
