(28.10.2019 14:18:55) CMD   : NumberOfKeystrokes("91,77", "1", "10")
(28.10.2019 14:18:55) DTL   :   KeyboardAction("System.Collections.Generic.List`1[System.Int32]", "10")
(28.10.2019 14:18:55) DTL   :     KeyDown:'LWIN'
(28.10.2019 14:18:55) DTL   :     Sleep("10")
(28.10.2019 14:18:55) DTL   :     KeyDown:'VK_M'
(28.10.2019 14:18:55) DTL   :     Sleep("10")
(28.10.2019 14:18:55) DTL   :     KeyUp:'VK_M'
(28.10.2019 14:18:55) DTL   :     KeyUp:'LWIN'
(28.10.2019 14:18:55) CMD   : Sleep("2000")
(28.10.2019 14:18:57) CMD   : Processes.Execute("system32\mstsc.exe", "", "True", "False", "Normal")
(28.10.2019 14:18:57) DTL   :   Processes.StartProcess("system32\mstsc.exe", "", "True", "False", "Normal", "False", "False")
(28.10.2019 14:18:57) CMD   : WindowsUI.GetElementRectangle("0", "False", "True", "False", "False")
(28.10.2019 14:18:57) DTL   :   WindowsUI.FocusWindow("ByName", "Подключение к удаленному рабочему столу", "0")
(28.10.2019 14:18:57) DTL   :     WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:18:58) DTL   :       Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:18:58) DTL   :       WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:18:58) DTL   :         Focus window with name 'Подключение к удаленному рабочему столу' is successfully
(28.10.2019 14:18:58) DTL   :         Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:18:58) DTL   :       Found 1 elements.
(28.10.2019 14:18:58) DTL   :       Order = 0, taking first.
(28.10.2019 14:18:58) DTL   :       elArr: Found 
(28.10.2019 14:18:58) DTL   :       BoundingRectangle: (x=773, y=198, w=389, h=28)
(28.10.2019 14:18:58) DTL   :       GetCurrentPropertyValue: (x=773, y=198, w=389, h=28)
(28.10.2019 14:18:58) DTL   :       GetClickablePoint: (967, 212)
(28.10.2019 14:18:58) DTL   :       x+w/2, y+h/2: (967,5, 212)
(28.10.2019 14:18:58) DTL   :       Focused element
(28.10.2019 14:18:58) DTL   :       SimulateSystem.ClickLeftMouseButton("967", "212", "")
(28.10.2019 14:18:58) DTL   :         SimulateSystem.CalculateLocation("967", "212", "")
(28.10.2019 14:18:58) DTL   :           (33006, 12864)
(28.10.2019 14:18:58) DTL   :         SimulateSystem.ClickMouseYeah("33006", "12864", "MOUSEEVENTF_LEFTUP", "MOUSEEVENTF_LEFTDOWN")
(28.10.2019 14:18:58) DTL   :         Click left mouse button complete
(28.10.2019 14:18:58) DTL   :       ForceClick on (967,212)
(28.10.2019 14:18:58) WARN  : Action Timeout!
(28.10.2019 14:18:58) DTL   :       TextEntry
(28.10.2019 14:18:58) DTL   :     WindowsUI.GetElementRectangle("0", "False", "True", "False", "False")
(28.10.2019 14:18:58) DTL   :       WindowsUI.FocusWindow("ByName", "Подключение к удаленному рабочему столу", "0")
(28.10.2019 14:18:58) DTL   :         WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:18:59) DTL   :           Focus window with name 'Подключение к удаленному рабочему столу' is successfully
(28.10.2019 14:18:59) DTL   :           Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:18:59) DTL   :         Found 1 elements.
(28.10.2019 14:18:59) DTL   :         Order = 0, taking first.
(28.10.2019 14:18:59) DTL   :         elArr: Found Подключить
(28.10.2019 14:18:59) DTL   :         BoundingRectangle: (x=999, y=416, w=75, h=23)
(28.10.2019 14:18:59) DTL   :         GetCurrentPropertyValue: (x=999, y=416, w=75, h=23)
(28.10.2019 14:18:59) DTL   :         GetClickablePoint: (1036, 427)
(28.10.2019 14:18:59) DTL   :         x+w/2, y+h/2: (1036,5, 427,5)
(28.10.2019 14:18:59) DTL   :         Focused elementПодключить
(28.10.2019 14:18:59) DTL   :         SimulateSystem.ClickLeftMouseButton("1036", "427", "")
(28.10.2019 14:18:59) DTL   :           SimulateSystem.CalculateLocation("1036", "427", "")
(28.10.2019 14:18:59) DTL   :             (35362, 25910)
(28.10.2019 14:18:59) DTL   :           SimulateSystem.ClickMouseYeah("35362", "25910", "MOUSEEVENTF_LEFTUP", "MOUSEEVENTF_LEFTDOWN")
(28.10.2019 14:18:59) DTL   :           Click left mouse button complete
(28.10.2019 14:18:59) DTL   :         ForceClick on (1036,427)
(28.10.2019 14:18:59) WARN  : Action Timeout!
(28.10.2019 14:18:59) DTL   :         Sleep("1000")
(28.10.2019 14:19:00) DTL   :         TextEntry
(28.10.2019 14:19:00) DTL   :       NumberOfKeystrokes("13", "1", "10")
(28.10.2019 14:19:00) DTL   :         KeyboardAction("System.Collections.Generic.List`1[System.Int32]", "10")
(28.10.2019 14:19:00) DTL   :           KeyDown:'RETURN'
(28.10.2019 14:19:00) DTL   :           Sleep("10")
(28.10.2019 14:19:00) DTL   :           KeyUp:'RETURN'
(28.10.2019 14:19:00) DTL   :       VisualOperations.FromResource: resource identifier("a4603e12-a8d1-420f-95c4-4cd1b3819404")
(28.10.2019 14:19:00) DTL   :         VisualOperations.FromResource: resource name 
(28.10.2019 14:19:00) DTL   :       Vision.WaitFor similarity, return center, timeout("0,75", "False", "-1")
(28.10.2019 14:19:00) DTL   :         RobinBitmap detected
(28.10.2019 14:19:31) DTL   :       Sleep("10000")
(28.10.2019 14:19:41) DTL   :       NumberOfKeystrokes("91,77", "1", "10")
(28.10.2019 14:19:41) DTL   :         KeyboardAction("System.Collections.Generic.List`1[System.Int32]", "10")
(28.10.2019 14:19:41) DTL   :           KeyDown:'LWIN'
(28.10.2019 14:19:41) DTL   :           Sleep("10")
(28.10.2019 14:19:41) DTL   :           KeyDown:'VK_M'
(28.10.2019 14:19:41) DTL   :           Sleep("10")
(28.10.2019 14:19:41) DTL   :           KeyUp:'VK_M'
(28.10.2019 14:19:41) DTL   :           KeyUp:'LWIN'
